Namespace(gpu=3, seed=0, root_dir='/data', label_noise=0.0, results_csv='/home/sjoshi/spuco_experiments/celeba/gb.csv', arch='resnet50', batch_size=128, num_epochs=50, lr=0.0001, weight_decay=0.1, momentum=0.9)
GB | Epoch 0 | Loss: 0.7479557991027832 | Accuracy: 39.0625%
GB | Epoch 0 | Loss: 0.6912059783935547 | Accuracy: 53.90625%
GB | Epoch 0 | Loss: 0.6936474442481995 | Accuracy: 53.125%
GB | Epoch 0 | Loss: 0.7148725390434265 | Accuracy: 45.3125%
GB | Epoch 0 | Loss: 0.6834257245063782 | Accuracy: 60.9375%
GB | Epoch 0 | Loss: 0.6784459948539734 | Accuracy: 55.46875%
GB | Epoch 0 | Loss: 0.687569260597229 | Accuracy: 52.34375%
GB | Epoch 0 | Loss: 0.7023276686668396 | Accuracy: 49.21875%
GB | Epoch 0 | Loss: 0.6923066973686218 | Accuracy: 53.125%
GB | Epoch 0 | Loss: 0.6792424321174622 | Accuracy: 53.125%
GB | Epoch 0 | Loss: 0.7014701962471008 | Accuracy: 51.5625%
GB | Epoch 0 | Loss: 0.696018397808075 | Accuracy: 52.34375%
GB | Epoch 0 | Loss: 0.6863254308700562 | Accuracy: 54.6875%
GB | Epoch 0 | Loss: 0.6748708486557007 | Accuracy: 57.8125%
GB | Epoch 0 | Loss: 0.691730260848999 | Accuracy: 50.78125%
GB | Epoch 0 | Loss: 0.6791968941688538 | Accuracy: 56.25%
GB | Epoch 0 | Loss: 0.6749773025512695 | Accuracy: 60.15625%
GB | Epoch 0 | Loss: 0.6776285171508789 | Accuracy: 57.8125%
GB | Epoch 0 | Loss: 0.6673136949539185 | Accuracy: 59.375%
GB | Epoch 0 | Loss: 0.654211699962616 | Accuracy: 67.96875%
GB | Epoch 0 | Loss: 0.6611594557762146 | Accuracy: 64.84375%
GB | Epoch 0 | Loss: 0.6658135652542114 | Accuracy: 60.15625%
GB | Epoch 0 | Loss: 0.6635535955429077 | Accuracy: 64.84375%
GB | Epoch 0 | Loss: 0.664989173412323 | Accuracy: 57.8125%
GB | Epoch 0 | Loss: 0.6389994025230408 | Accuracy: 70.3125%
GB | Epoch 0 | Loss: 0.675119161605835 | Accuracy: 59.375%
GB | Epoch 0 | Loss: 0.6546468138694763 | Accuracy: 66.40625%
GB | Epoch 0 | Loss: 0.6504179835319519 | Accuracy: 67.1875%
GB | Epoch 0 | Loss: 0.6615180969238281 | Accuracy: 59.375%
GB | Epoch 0 | Loss: 0.6355873346328735 | Accuracy: 66.40625%
GB | Epoch 0 | Loss: 0.6497911214828491 | Accuracy: 62.5%
GB | Epoch 0 | Loss: 0.6615145802497864 | Accuracy: 63.28125%
GB | Epoch 0 | Loss: 0.6560794711112976 | Accuracy: 64.0625%
GB | Epoch 0 | Loss: 0.6467524170875549 | Accuracy: 74.21875%
GB | Epoch 0 | Loss: 0.6421540975570679 | Accuracy: 67.96875%
GB | Epoch 0 | Loss: 0.6436614394187927 | Accuracy: 68.75%
GB | Epoch 0 | Loss: 0.6288168430328369 | Accuracy: 72.65625%
GB | Epoch 0 | Loss: 0.6623340249061584 | Accuracy: 60.15625%
GB | Epoch 0 | Loss: 0.6292634606361389 | Accuracy: 72.65625%
GB | Epoch 0 | Loss: 0.6342843770980835 | Accuracy: 70.3125%
GB | Epoch 0 | Loss: 0.6420436501502991 | Accuracy: 67.1875%
GB | Epoch 0 | Loss: 0.6058042645454407 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.6294119358062744 | Accuracy: 69.53125%
GB | Epoch 0 | Loss: 0.6249197721481323 | Accuracy: 71.09375%
GB | Epoch 0 | Loss: 0.6198145747184753 | Accuracy: 72.65625%
GB | Epoch 0 | Loss: 0.6118189096450806 | Accuracy: 78.125%
GB | Epoch 0 | Loss: 0.6046653985977173 | Accuracy: 78.90625%
GB | Epoch 0 | Loss: 0.6175776720046997 | Accuracy: 70.3125%
GB | Epoch 0 | Loss: 0.65330970287323 | Accuracy: 61.71875%
GB | Epoch 0 | Loss: 0.6082240343093872 | Accuracy: 81.25%
GB | Epoch 0 | Loss: 0.5890865325927734 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.6248953938484192 | Accuracy: 70.3125%
GB | Epoch 0 | Loss: 0.5956577658653259 | Accuracy: 78.125%
GB | Epoch 0 | Loss: 0.6099622845649719 | Accuracy: 75.0%
GB | Epoch 0 | Loss: 0.6035385131835938 | Accuracy: 77.34375%
GB | Epoch 0 | Loss: 0.5786414742469788 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.5703526139259338 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.6194248199462891 | Accuracy: 72.65625%
GB | Epoch 0 | Loss: 0.6276086568832397 | Accuracy: 69.53125%
GB | Epoch 0 | Loss: 0.6118650436401367 | Accuracy: 71.875%
GB | Epoch 0 | Loss: 0.6057218909263611 | Accuracy: 73.4375%
GB | Epoch 0 | Loss: 0.5885740518569946 | Accuracy: 77.34375%
GB | Epoch 0 | Loss: 0.5943166613578796 | Accuracy: 75.78125%
GB | Epoch 0 | Loss: 0.599604606628418 | Accuracy: 74.21875%
GB | Epoch 0 | Loss: 0.6001463532447815 | Accuracy: 75.0%
GB | Epoch 0 | Loss: 0.5917304754257202 | Accuracy: 75.0%
GB | Epoch 0 | Loss: 0.5781890153884888 | Accuracy: 77.34375%
GB | Epoch 0 | Loss: 0.6130722165107727 | Accuracy: 73.4375%
GB | Epoch 0 | Loss: 0.5970771312713623 | Accuracy: 75.78125%
GB | Epoch 0 | Loss: 0.5622480511665344 | Accuracy: 81.25%
GB | Epoch 0 | Loss: 0.5895724892616272 | Accuracy: 75.78125%
GB | Epoch 0 | Loss: 0.582099437713623 | Accuracy: 76.5625%
GB | Epoch 0 | Loss: 0.5992423892021179 | Accuracy: 77.34375%
GB | Epoch 0 | Loss: 0.5736590623855591 | Accuracy: 81.25%
GB | Epoch 0 | Loss: 0.6015652418136597 | Accuracy: 72.65625%
GB | Epoch 0 | Loss: 0.5817440748214722 | Accuracy: 75.0%
GB | Epoch 0 | Loss: 0.5724550485610962 | Accuracy: 79.6875%
GB | Epoch 0 | Loss: 0.5938278436660767 | Accuracy: 74.21875%
GB | Epoch 0 | Loss: 0.5695511102676392 | Accuracy: 78.125%
GB | Epoch 0 | Loss: 0.547855794429779 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.609183669090271 | Accuracy: 70.3125%
GB | Epoch 0 | Loss: 0.5789803266525269 | Accuracy: 78.125%
GB | Epoch 0 | Loss: 0.5591121912002563 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.5492439866065979 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.5612231492996216 | Accuracy: 78.90625%
GB | Epoch 0 | Loss: 0.5680334568023682 | Accuracy: 76.5625%
GB | Epoch 0 | Loss: 0.5785937905311584 | Accuracy: 76.5625%
GB | Epoch 0 | Loss: 0.5615875124931335 | Accuracy: 76.5625%
GB | Epoch 0 | Loss: 0.5692847967147827 | Accuracy: 78.90625%
GB | Epoch 0 | Loss: 0.5587645769119263 | Accuracy: 81.25%
GB | Epoch 0 | Loss: 0.5557333827018738 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.5409011840820312 | Accuracy: 78.90625%
GB | Epoch 0 | Loss: 0.545637845993042 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.566829264163971 | Accuracy: 78.125%
GB | Epoch 0 | Loss: 0.5340027213096619 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.5411857962608337 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.5649200677871704 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.5498093366622925 | Accuracy: 81.25%
GB | Epoch 0 | Loss: 0.5148640275001526 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.5288630723953247 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.5322354435920715 | Accuracy: 79.6875%
