Namespace(gpu=0, seed=0, root_dir='/data/spucosun/3.0', label_noise=0.0, results_csv='/home/sjoshi/spuco_experiments/spuco_animals_clip/results.csv', stdout_file='2024-01-2414:38:12.344634-spuco_sun_lrmix.out', arch='cliprn50', batch_size=128, num_epochs=40, lr=0.0001, weight_decay=0.0001, momentum=0.9, wandb=False, wandb_project='spuco', wandb_entity=None, wandb_run_name='spuco_sun_lrmix')
ERM | Epoch 0 | Loss: 1.3956884145736694 | Accuracy: 17.1875%
ERM | Epoch 0 | Loss: 1.3914543390274048 | Accuracy: 21.875%
ERM | Epoch 0 | Loss: 1.3926749229431152 | Accuracy: 21.09375%
ERM | Epoch 0 | Loss: 1.3869476318359375 | Accuracy: 26.5625%
ERM | Epoch 0 | Loss: 1.3889179229736328 | Accuracy: 32.8125%
ERM | Epoch 0 | Loss: 1.389125108718872 | Accuracy: 26.5625%
ERM | Epoch 0 | Loss: 1.3901909589767456 | Accuracy: 19.53125%
ERM | Epoch 0 | Loss: 1.3887759447097778 | Accuracy: 24.21875%
ERM | Epoch 0 | Loss: 1.3871774673461914 | Accuracy: 28.125%
ERM | Epoch 0 | Loss: 1.3940504789352417 | Accuracy: 21.09375%
ERM | Epoch 0 | Loss: 1.3905476331710815 | Accuracy: 17.96875%
ERM | Epoch 0 | Loss: 1.387941837310791 | Accuracy: 20.3125%
ERM | Epoch 0 | Loss: 1.3911950588226318 | Accuracy: 25.78125%
ERM | Epoch 0 | Loss: 1.384635090827942 | Accuracy: 29.6875%
ERM | Epoch 0 | Loss: 1.3863575458526611 | Accuracy: 21.09375%
ERM | Epoch 0 | Loss: 1.385257601737976 | Accuracy: 27.34375%
ERM | Epoch 0 | Loss: 1.3872239589691162 | Accuracy: 21.875%
ERM | Epoch 0 | Loss: 1.3849369287490845 | Accuracy: 19.53125%
ERM | Epoch 0 | Loss: 1.3881208896636963 | Accuracy: 25.0%
ERM | Epoch 0 | Loss: 1.388426661491394 | Accuracy: 22.65625%
ERM | Epoch 0 | Loss: 1.3849513530731201 | Accuracy: 21.875%
ERM | Epoch 0 | Loss: 1.388291597366333 | Accuracy: 21.875%
ERM | Epoch 0 | Loss: 1.3884451389312744 | Accuracy: 17.1875%
ERM | Epoch 0 | Loss: 1.3912158012390137 | Accuracy: 18.75%
